Participant,Pretest_fake_covid_3,Pretest_fake_general_8,Pretest_fake_general_15,Pretest_fake_general_10,Pretest_real_general_4,Pretest_real_general_3,Pretest_real_general_21,Pretest_real_covid_4,Pretest_fake_general_3,Pretest_real_general_30,Pretest_real_general_22,Pretest_fake_general_16,Pretest_fake_general_1,Pretest_real_general_7,Pretest_fake_general_28,Pretest_fake_covid_9,Pretest_fake_general_7,Pretest_real_covid_6,Pretest_fake_covid_7,Pretest_fake_general_2,Pretest_fake_covid_1,Pretest_fake_general_14,Pretest_fake_covid_2,Pretest_fake_general_21,Pretest_real_general_1,Pretest_real_covid_5,Pretest_fake_general_19,Pretest_real_general_8,Pretest_real_general_11,Pretest_fake_general_17,Pretest_fake_general_13,Pretest_real_general_9,Pretest_real_general_6,Pretest_real_general_28,Pretest_real_covid_9,Pretest_real_covid_1,Pretest_real_general_12,Pretest_real_general_29,Pretest_fake_general_29,Pretest_real_general_25,Posttest_real_general_5,Posttest_real_general_10,Posttest_fake_general_20,Posttest_real_general_14,Posttest_fake_general_5,Posttest_real_covid_10,Posttest_fake_general_12,Posttest_real_covid_8,Posttest_real_general_19,Posttest_real_general_26,Posttest_real_general_2,Posttest_fake_covid_5,Posttest_fake_general_30,Posttest_real_general_24,Posttest_real_general_23,Posttest_real_general_16,Posttest_fake_general_9,Posttest_real_general_13,Posttest_fake_general_25,Posttest_fake_general_24,Posttest_fake_covid_10,Posttest_fake_general_26,Posttest_fake_general_18,Posttest_real_covid_3,Posttest_fake_general_6,Posttest_real_general_17,Posttest_real_general_27,Posttest_fake_covid_8,Posttest_fake_general_27,Posttest_fake_general_11,Posttest_fake_covid_6,Posttest_fake_general_4,Posttest_real_general_20,Posttest_real_covid_7,Posttest_fake_general_23,Posttest_real_general_31,Posttest_real_general_15,Posttest_real_general_18,Posttest_fake_general_22,Posttest_real_covid_2,Posttest_fake_covid_4,Pretest_real_general_13,Pretest_fake_covid_4,Pretest_fake_general_4,Pretest_real_general_17,Pretest_fake_general_25,Pretest_fake_general_18,Pretest_real_general_24,Pretest_fake_general_24,Pretest_real_covid_3,Pretest_fake_general_26,Pretest_fake_general_23,Pretest_real_general_27,Pretest_real_general_14,Pretest_real_general_16,Pretest_fake_general_5,Pretest_real_general_5,Pretest_real_general_20,Pretest_real_general_15,Pretest_real_covid_2,Pretest_fake_covid_5,Posttest_real_general_4,Posttest_fake_general_8,Posttest_fake_general_1,Posttest_fake_general_13,Posttest_fake_general_19,Posttest_real_covid_9,Posttest_real_general_29,Posttest_fake_general_15,Posttest_real_general_6,Posttest_real_general_11,Posttest_real_general_12,Posttest_real_general_1,Posttest_fake_covid_7,Posttest_real_general_22,Posttest_fake_general_7,Posttest_real_general_21,Posttest_real_covid_5,Posttest_fake_general_10,Posttest_fake_covid_2,Posttest_real_general_3,Pretest_real_covid_8,Pretest_fake_general_12,Pretest_fake_general_22,Pretest_fake_general_20,Pretest_fake_covid_8,Pretest_real_general_31,Pretest_real_covid_7,Pretest_real_general_19,Pretest_real_general_2,Pretest_real_general_26,Pretest_fake_general_9,Posttest_fake_general_2,Posttest_real_general_8,Posttest_fake_general_3,Posttest_fake_covid_3,Posttest_real_covid_6,Posttest_real_covid_1,Posttest_fake_general_21,Posttest_fake_general_14,Posttest_fake_general_17,Posttest_real_general_7,Pretest_real_general_18,Pretest_fake_general_30,Pretest_fake_general_11,Pretest_real_general_10,Pretest_real_covid_10,Pretest_fake_covid_10,Pretest_fake_general_6,Posttest_fake_general_29,Posttest_fake_general_28,Posttest_real_general_30,Posttest_real_covid_4,Posttest_fake_general_16,Posttest_real_general_9,Posttest_real_general_28,Pretest_fake_general_27,Posttest_fake_covid_9,Pretest_real_general_23,Pretest_fake_covid_6,Posttest_fake_covid_1,Posttest_real_general_25
crs4s377m6,85,NA,NA,NA,0,100,NA,NA,2,NA,83,NA,64,6,88,NA,NA,NA,100,NA,NA,NA,100,0,NA,NA,77,NA,NA,NA,22,NA,100,100,NA,NA,2,100,70,NA,85,NA,NA,NA,NA,NA,74,NA,72,NA,NA,NA,NA,100,NA,86,40,NA,88,15,0,82,0,NA,0,25,100,NA,NA,NA,86,NA,100,NA,NA,NA,67,100,NA,NA,0,87,NA,0,NA,NA,NA,NA,NA,91,NA,0,NA,0,NA,83,NA,NA,NA,100,96,NA,71,NA,NA,NA,98,NA,3,NA,0,NA,90,NA,NA,65,91,95,92,NA,NA,100,NA,7,73,100,100,0,NA,90,100,NA,91,99,NA,NA,100,3,NA,100,0,NA,NA,14,2,0,99,NA,NA,NA,NA,92,11,0,100,NA,0,80,97,NA,16,94
hy1qmme0zo,NA,76,NA,64,68,NA,NA,NA,NA,NA,NA,19,63,NA,NA,100,NA,NA,NA,80,NA,58,0,NA,NA,100,41,NA,NA,0,0,NA,70,83,87,0,NA,83,64,78,93,NA,NA,NA,0,100,NA,100,NA,NA,NA,100,0,NA,100,100,17,NA,0,NA,100,NA,0,NA,0,88,NA,NA,0,67,NA,11,NA,NA,NA,NA,91,100,22,100,NA,24,0,NA,NA,NA,NA,88,10,100,18,14,83,0,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,100,100,76,7,100,NA,NA,NA,100,NA,70,NA,69,25,85,79,69,77,71,NA,NA,100,0,100,100,NA,0,NA,NA,0,NA,NA,NA,87,NA,NA,NA,NA,13,61,100,NA,74,NA,NA,NA,NA,0,100,NA
vgrtcdhzjl,14,16,1,NA,11,57,NA,76,NA,81,NA,NA,2,NA,63,68,2,1,NA,NA,88,59,35,76,NA,4,NA,17,NA,NA,NA,NA,NA,76,NA,NA,0,34,NA,25,NA,11,17,NA,12,NA,NA,NA,NA,NA,10,7,81,80,9,NA,14,NA,69,NA,81,NA,72,14,NA,78,6,20,NA,NA,14,3,74,3,NA,4,NA,51,NA,83,NA,32,21,NA,NA,NA,NA,NA,64,NA,64,6,NA,0,26,NA,54,NA,70,NA,NA,NA,NA,NA,10,10,79,NA,NA,78,13,NA,76,64,82,NA,61,NA,63,NA,NA,70,59,58,NA,NA,NA,NA,53,NA,75,NA,11,NA,61,NA,NA,81,NA,NA,14,21,NA,NA,16,NA,81,NA,0,6,NA,NA,NA,20,19,NA,54,NA,NA,NA,NA,NA
g7qvkgs9jg,NA,76,NA,NA,0,83,NA,18,33,51,24,NA,0,NA,0,88,1,89,75,75,NA,0,NA,NA,NA,89,NA,3,NA,NA,NA,4,56,NA,NA,2,NA,NA,NA,52,NA,1,NA,0,34,99,10,98,NA,2,NA,NA,NA,100,97,100,NA,0,NA,NA,NA,17,5,97,NA,NA,51,67,12,NA,84,NA,NA,2,0,NA,55,NA,0,NA,NA,NA,1,0,77,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,5,74,NA,90,100,NA,NA,NA,1,1,97,99,37,NA,1,0,34,NA,NA,NA,100,NA,60,15,NA,NA,NA,NA,21,NA,5,NA,52,2,NA,0,NA,NA,NA,84,NA,NA,3,NA,2,29,34,2,0,NA,NA,0,1,0,NA,NA,NA,0,NA,69,NA,NA,NA,NA,94,NA
efqqrkakok,NA,NA,0,84,NA,76,NA,NA,NA,NA,74,0,0,NA,16,61,NA,100,83,57,NA,NA,24,NA,NA,NA,70,0,0,NA,NA,0,NA,NA,79,100,NA,100,NA,80,NA,NA,0,0,NA,0,NA,NA,NA,NA,6,NA,NA,100,100,100,0,NA,17,0,NA,NA,NA,100,0,NA,100,0,0,10,0,NA,100,100,NA,100,NA,NA,NA,NA,0,28,NA,0,100,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,3,NA,58,100,100,0,56,NA,0,NA,NA,NA,NA,86,NA,0,55,NA,NA,0,100,100,NA,NA,NA,100,58,14,NA,NA,NA,NA,76,NA,91,NA,NA,NA,0,100,NA,NA,0,0,0,0,100,0,NA,22,NA,100,NA,95,NA,100,100,NA,NA,100,NA,NA,NA,NA,100,NA
ocaokc2fj2,100,49,0,100,NA,50,100,NA,0,100,NA,NA,NA,0,NA,NA,NA,100,100,50,100,NA,NA,NA,NA,NA,NA,NA,NA,0,0,51,NA,100,NA,50,0,NA,NA,NA,50,0,0,0,NA,NA,0,NA,NA,NA,NA,100,NA,100,100,NA,NA,NA,NA,NA,NA,NA,50,100,0,100,NA,NA,0,0,100,0,100,NA,NA,NA,NA,50,NA,100,0,100,NA,NA,NA,0,NA,NA,0,NA,0,50,100,NA,100,0,NA,NA,100,NA,NA,50,NA,0,NA,50,100,100,NA,100,0,NA,100,NA,100,0,NA,100,NA,0,NA,100,NA,0,NA,100,100,100,100,100,100,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,100,49,NA,0,0,NA,100,0,NA,NA,NA,100,NA,NA,NA,100
5n191lu7q3,1,9,NA,95,NA,NA,NA,NA,0,NA,78,3,NA,NA,NA,100,NA,100,1,80,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,78,NA,NA,76,8,NA,NA,NA,3,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,1,1,NA,4,1,2,NA,NA,NA,NA,NA,NA,NA,5,NA,79,NA,NA,NA,78,NA,1,100,5,NA,NA,2,0,NA,NA,100,7,99,NA,1,100,5,NA,5,NA,NA,NA,NA,100,5,NA,1,1,4,75,80,3,NA,3,NA,77,NA,NA,0,79,1,NA,8,2,90,1,NA,NA,2,100,9,7,0,80,5,NA,NA,NA,NA,NA,NA,5,7,1,6,8,5,0,9,NA,NA,6,1,4,74,76,NA,5,2,3,NA,100,NA,5,3
xzehsvx83j,81,78,NA,97,69,85,NA,98,50,NA,NA,NA,78,83,NA,NA,79,NA,97,NA,92,66,NA,87,NA,NA,76,NA,11,21,NA,68,98,95,97,NA,NA,NA,74,97,96,NA,NA,17,29,NA,NA,NA,NA,54,NA,98,NA,86,NA,74,NA,81,93,NA,NA,73,72,97,24,NA,NA,NA,75,26,89,14,NA,NA,18,76,83,82,80,96,13,NA,NA,NA,71,NA,NA,NA,70,NA,NA,NA,99,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,73,NA,NA,82,21,NA,NA,34,91,NA,89,NA,84,82,NA,75,NA,56,100,NA,17,78,NA,24,93,72,NA,26,59,18,NA,NA,90,87,NA,NA,NA,NA,NA,78,NA,33,97,96,NA,NA,20,69,NA,7,NA,NA,NA,75,21,NA,NA,NA
l92tgyfj1u,NA,0,NA,NA,NA,51,NA,66,NA,72,NA,0,0,0,NA,32,0,NA,100,79,NA,NA,0,NA,NA,73,NA,80,NA,0,19,100,86,NA,NA,NA,0,82,2,NA,80,0,65,0,NA,71,23,87,81,78,NA,100,0,NA,64,79,NA,NA,NA,66,NA,NA,NA,NA,0,76,NA,NA,0,42,0,NA,NA,NA,0,NA,NA,83,NA,NA,0,27,NA,23,NA,74,0,88,NA,86,66,NA,81,NA,NA,88,NA,19,26,86,NA,78,NA,NA,NA,78,85,NA,0,NA,0,NA,68,NA,81,NA,89,NA,87,NA,NA,NA,NA,0,NA,65,77,0,NA,75,NA,0,NA,NA,0,100,21,61,19,70,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,11,NA,NA,NA,NA,66,63
9teo2bavbe,100,NA,0,100,NA,NA,100,100,NA,0,100,NA,0,NA,NA,0,NA,100,100,NA,NA,0,0,0,0,100,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,100,NA,100,0,0,100,100,100,NA,100,100,NA,NA,NA,100,NA,NA,0,0,NA,100,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,100,100,NA,100,NA,NA,0,100,0,NA,NA,0,0,NA,0,0,0,0,0,0,100,NA,0,NA,NA,NA,0,NA,100,0,0,NA,NA,0,NA,100,NA,100,NA,0,NA,NA,NA,0,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,0,0,0,0,NA,NA,100,NA,NA,0,0,0,0,0,2,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,100,100
zjh28awk72,0,0,0,NA,NA,NA,100,100,NA,NA,100,0,NA,0,NA,NA,0,100,NA,100,100,NA,0,NA,100,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,0,100,0,NA,NA,0,NA,0,0,NA,100,100,NA,NA,NA,100,NA,NA,NA,100,NA,0,NA,NA,100,0,NA,NA,0,100,100,100,0,0,NA,0,100,0,0,NA,100,100,NA,NA,NA,NA,0,NA,NA,0,0,100,0,100,NA,NA,NA,NA,NA,NA,100,NA,NA,100,NA,0,NA,0,NA,NA,100,NA,NA,100,NA,NA,NA,0,NA,NA,NA,100,100,NA,100,NA,NA,0,0,NA,100,NA,100,100,100,0,NA,0,0,NA,NA,100,0,0,0,NA,NA,0,NA,NA,100,NA,NA,NA,0,100,NA,NA,NA,100,NA,100,100,100,NA,100
rxz1boocwt,100,0,NA,NA,100,0,100,0,NA,50,NA,100,NA,NA,NA,50,100,NA,NA,NA,NA,NA,0,100,100,NA,NA,NA,0,100,0,NA,100,0,100,0,0,NA,NA,NA,100,100,100,NA,NA,NA,NA,100,100,NA,0,NA,NA,NA,51,NA,NA,NA,NA,NA,100,100,NA,100,0,100,100,0,NA,0,100,NA,100,100,0,100,100,NA,0,NA,NA,100,0,100,NA,0,51,0,100,NA,NA,NA,NA,0,100,0,NA,NA,NA,100,0,NA,NA,0,NA,51,NA,100,51,NA,NA,NA,NA,100,0,NA,NA,0,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,100,NA,100,NA,NA,0,NA,0,0,100,NA,NA,52,NA,NA,52,0,NA,NA,NA,0,NA,100,NA,NA,NA,100,0
