"Participant","Sample","Experiment_Duration","Date","Time","Browser","Mobile","Platform","Screen_Width","Screen_Height","Gender","Education","Age","Ethnicity","COVID_Vaccination","FakeNews_SubjectiveDiscrimination","BFI10_1","BFI10_2","BFI10_3","BFI10_4","BFI10_5","BFI10_6","BFI10_7","BFI10_8","BFI10_9","BFI10_10","ANES_Duration","Political_Ideology","Political_Affiliation","GCBS15_13","GCBS15_10","GCBS15_15","GCBS15_12","GCBS15_14","GCBS15_11","Intervention_Questions_Confidence","Intervention","Intervention_Duration","Intervention_Questions_Score","Intervention_Questions_Duration","Intervention_Questions_Favorite","Intervention_Questions_Repeat","Intervention_Questions_Recommend","Political_IdeologyNumeric","VSA_Conservatism","VSA_Traditionalism","VSA_Authoritarianism","VSA_General","BFI_Agreeableness","BFI_Extraversion","BFI_Conscientiousness","BFI_Neuroticism","BFI_Openness","GCBS_GovernmentMalfeasance","GCBS_Extraterrestrial","GCBS_Malevolent","GCBS_Wellbeing","GCBS_Control","GCBS_General"
"S026","USA",36.11335,"18/10/2024","06:42:45","chrome","false","Mac OS",1302,705,"Man","Doctorate",57,"White","Yes","very likely",3,4,1,2,2,3,1,3,1,2,0.22265,"Moderate","Democrat",2,2,4,2,3,3,"Improved","Tetris",12.1485833333333,"5000",0.8002,"Tetris","Yes","Yes",4,4.5,8,5.5,6,4.5,3,4,2.5,3,1.66666666666667,2.66666666666667,2,3,3,2.46666666666667
"S027","USA",31.8394666666667,"18/10/2024","08:19:00","chrome","false","Windows 10",1536,742,"Woman","High School",21,"Latinx","Yes","unlikely",4,3,4,1,2,3,2,4,4,3,0.197933333333333,"Slightly Liberal","None or Independent",4,4,4,3,3,3,"Improved","BadNewsGame",15.6031666666667,"11000",0.438666666666667,"the follower's reactions","yes","yes",3,1,0,1.5,0.833333333333333,3.5,2.5,3,4.5,3.5,3,2.66666666666667,2.33333333333333,2,3,2.6
"S028","USA",30.6814666666667,"18/10/2024","07:00:26","chrome","false","Mac OS",1464,798,"Man","Bachelor",50,"Caucasian","Yes","likely",1,3,1,2,0,3,2,2,3,4,0.228916666666667,"Slightly Liberal","None or Independent",2,2,3,2,1,1,"Improved","BadNewsGame",15.4878666666667,"17420",0.44135,"The back and forth was funny.","Maybe","Probably not",3,2,0,3,1.66666666666667,3.5,4,3.5,3.5,5,1.33333333333333,1.66666666666667,1.66666666666667,1,2,1.53333333333333
"S030","USA",25.8842333333333,"18/10/2024","07:38:39","edge-chromium","false","Windows 10",2654,1040,"Man","Bachelor",35,"Caucasian","No","likely",2,1,0,3,1,2,1,4,1,4,0.131316666666667,"Moderate","None or Independent",2,4,4,4,4,4,"No impact","Tetris",13.7673833333333,"7800",0.718933333333333,"The nostalgia I felt since I haven't played it in a while.","Yes","Yes",4,4.5,2,4.5,3.66666666666667,3,3,5,2,4.5,3.66666666666667,2.66666666666667,3.66666666666667,3,3.66666666666667,3.33333333333333
"S032","USA",41.9007333333333,"22/10/2024","13:02:14","chrome","false","Windows 10",1280,585,"Woman","High School",27,"Hispanic/latino","Yes","likely",3,4,1,3,1,1,0,4,3,4,2.02418333333333,"Conservative","Republican",1,3,3,4,3,2,"Improved","BadNewsGame",18.9542333333333,"4000",0.639566666666667,"seemed realistic","yes","yes",6,6.5,5.5,6.5,6.16666666666667,5,2,4.5,3,4.5,2,1.66666666666667,3.33333333333333,2.66666666666667,3,2.53333333333333
"S033","USA",69.1011666666667,"18/10/2024","06:55:52","chrome","false","Windows 10",638,944,"Man","Bachelor",29,"Black","No","likely",0,1,0,3,3,4,1,4,0,3,0.955216666666667,"Liberal","Democrat",0,4,2,2,0,1,"Slightly improved","BadNewsGame",15.71325,"11",4.74756666666667,"Choosing a tweet to post.","yes","yes",2,4.5,0.5,5.5,3.5,3,5,5,1.5,3,0.333333333333333,0.666666666666667,1.33333333333333,0.333333333333333,2,0.933333333333333
"S035","USA",32.7882333333333,"18/10/2024","07:35:15","firefox","false","Windows 10",1600,775,"Man","High School",64,"caucasian","Yes","likely",1,3,0,4,1,3,1,4,1,3,0.134283333333333,"Slightly Conservative","Republican",1,3,3,1,1,2,"Improved","Tetris",16.6686333333333,"1369",0.599466666666667,"it weas fast paced","yes","yes",5,7.5,5.5,6.5,6.5,4,4,5,1.5,4,1.33333333333333,1,1.66666666666667,2,3,1.8
"S036","USA",49.2450666666667,"04/11/2024","07:56:37","chrome","false","Mac OS",1440,778,"Woman","Master",56,"Caucasian","Yes","likely",3,3,0,1,2,2,2,4,4,3,0.319933333333333,"Moderate","None or Independent",0,2,2,1,0,2,"No impact","Tetris",22.7629333333333,"4200",0.60025,"solving the puzzle","yes","no",4,4,2.5,3,3.16666666666667,3.5,2.5,5,4.5,3.5,1,0,0.666666666666667,0.333333333333333,1.33333333333333,0.666666666666667
"S037","USA",51.93565,"18/10/2024","07:03:49","edge-chromium","false","Windows 10",1366,657,"Woman","High School",36,"black","Yes","likely",4,4,0,3,3,2,0,4,0,4,1.4225,"Conservative","Democrat",0,3,4,3,0,3,"Improved","BadNewsGame",23.0486666666667,"11,419",0.854983333333333,"i get to get a lot of followers","yes","yes",6,5,5,7.5,5.83333333333333,5,2,5,1.5,3.5,2.33333333333333,2.33333333333333,3.66666666666667,0.666666666666667,3,2.4
"S038","USA",36.74475,"18/10/2024","08:08:17","chrome","false","Mac OS",1273,588,"Woman","High School",23,"White","Yes","unlikely",1,4,2,1,1,3,1,3,3,3,0.159516666666667,"Slightly Liberal","None or Independent",3,4,4,3,3,4,"Improved","BadNewsGame",16.4826833333333,"19000",0.851283333333333,"It was comedic in nature","Yes","Yes",3,3,0,5,2.66666666666667,4.5,4,3.5,4,4,4,3.33333333333333,3,2.66666666666667,3.66666666666667,3.33333333333333
