"Participant","Sample","Experiment_Duration","Date","Time","Browser","Mobile","Platform","Screen_Width","Screen_Height","Gender","Education","Age","Ethnicity","COVID_Vaccination","FakeNews_SubjectiveDiscrimination","BFI_Duration","BFI10_1","BFI10_2","BFI10_3","BFI10_4","BFI10_5","BFI10_6","BFI10_7","BFI10_8","BFI10_9","BFI10_10","VSA_Duration","VSA_1","VSA_2","VSA_3","VSA_4","VSA_5","VSA_6","ANES_Duration","Political_Ideology","Political_Affiliation","GCBS_Duration","GCBS15_13","GCBS15_10","GCBS15_15","GCBS15_8","GCBS15_2","GCBS15_1","GCBS15_12","GCBS15_14","GCBS15_3","GCBS15_9","GCBS15_7","GCBS15_4","GCBS15_11","GCBS15_5","GCBS15_6","Intervention_Questions_Confidence","Intervention","Intervention_Duration","Intervention_Questions_Score","Intervention_Questions_Duration","Intervention_Questions_Favorite","Intervention_Questions_Repeat","Intervention_Questions_Recommend","MOCRI_PRE_2_NonManipulative","MOCRI_PRE_11_NonManipulative","MOCRI_PRE_12_Manipulative","MOCRI_PRE_4_NonManipulative","MOCRI_PRE_3_Manipulative","MOCRI_PRE_9_NonManipulative","MOCRI_PRE_5_NonManipulative","MOCRI_PRE_1_Manipulative","MOCRI_PRE_8_Manipulative","MOCRI_PRE_6_Manipulative","MOCRI_PRE_10_Manipulative","MOCRI_PRE_7_NonManipulative","MOCRI_POST_1_NonManipulative","MOCRI_POST_4_NonManipulative","MOCRI_POST_3_Manipulative","MOCRI_POST_9_NonManipulative","MOCRI_POST_6_Manipulative","MOCRI_POST_11_NonManipulative","MOCRI_POST_12_NonManipulative","MOCRI_POST_8_Manipulative","MOCRI_POST_7_Manipulative","MOCRI_POST_10_Manipulative","MOCRI_POST_5_NonManipulative","MOCRI_POST_2_Manipulative"
"S107","USA",60.89735,"18/10/2024","07:54:09","chrome","false","Windows 10",1601,781,"Woman","High School",63,"Black American","No","unlikely",1.03061666666667,3,4,0,4,3,3,1,4,0,4,1.22498333333333,6,3,6,4,5,5,0.229016666666667,"Conservative","None or Independent",2.99115,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,"Slightly improved","BadNewsGame",32.7474,"14000",1.23471666666667,"learning the different prompts","yes","yes",1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0
"S108","USA",25.29835,"18/10/2024","09:26:34","chrome","false","Windows 10",1266,544,"Woman","Bachelor",24,"South Asian","Yes","likely",0.612016666666667,1,3,3,2,0,4,1,3,2,3,0.618616666666667,8,1,7,0,7,4,0.109266666666667,"Slightly Conservative","None or Independent",1.97175,4,3,4,3,3,4,3,3,1,1,4,4,4,3,4,"Greatly improved","BadNewsGame",10.9311833333333,"15,570",0.3955,"The funny bot and learning","Yes","Yes",1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0
"S109","USA",34.6174666666667,"18/10/2024","08:04:03","chrome","false","Mac OS",1440,778,"Woman","Master",41,"Asian","Yes","Unsure/Refuse to answer",0.724516666666667,4,2,0,3,0,2,2,4,3,3,2.19985,7,4,8,0,4,1,0.302983333333333,"Moderate","None or Independent",2.34311666666667,0,2,4,0,4,4,4,2,0,0,4,2,4,3,4,"Unsure/refuse to answer","Tetris",7.3672,"216",0.8954,"when I finally understood how to play","yes","yes",1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0
"S110","USA",36.1575666666667,"18/10/2024","05:12:22","opera","false","Windows 10",1879,928,"Woman","High School",22,"White","Yes","unlikely",0.8025,3,0,3,0,0,0,1,3,4,4,0.840083333333333,8,0,0,7,8,0,0.278716666666667,"Extremely Liberal","Democrat",2.65831666666667,1,3,3,0,0,0,0,3,0,0,0,0,0,0,0,"No impact","Tetris",10.2847,"33957",0.62575,"The puzzle aspect, and having to fit the pieces together.","Yes.","Yes.",1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0
"S111","USA",50.6429,"04/11/2024","09:03:24","firefox","false","Windows 10",769,731,"Woman","Bachelor",24,"black","Yes","unlikely",2.59563333333333,3,2,1,4,3,3,2,3,3,3,9.50226666666667,2,2,2,8,6,2,2.0237,"Liberal","Democrat",3.6595,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,"Slightly improved","Tetris",6.32911666666667,"6000",0.638233333333333,"how the blocks change form","yes","yes",1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1
"S112","USA",56.0749333333333,"18/10/2024","09:46:35","chrome","false","Windows 10",1536,791,"Woman","Bachelor",31,"white","Yes","likely",7.29383333333333,0,3,3,1,0,4,1,3,4,4,0.96225,7,0,0,8,4,4,0.247633333333333,"Extremely Liberal","Democrat",1.1652,4,2,4,2,4,4,1,4,2,3,1,1,4,0,4,"No impact","BadNewsGame",7.28288333333333,"1,345",1.342,"I liked the interaction conversation messaging style","No, It was interesting once but I most likely wouldn't play this again.","probably not",1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0
"S113","USA",41.51755,"18/10/2024","06:10:59","chrome","false","Windows 10",1280,585,"Man","Other",26,"Mixed","No","unlikely",0.60735,3,2,0,4,1,3,1,4,0,3,1.45451666666667,4,5,4,3,4,7,0.209566666666667,"Moderate","None or Independent",5.80333333333333,1,2,4,1,2,2,2,2,1,1,2,2,2,2,2,"Improved","BadNewsGame",15.4859,"17388",0.562516666666667,"Trolling","yes","yes",1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1
"S114","USA",34.1600833333333,"04/11/2024","08:22:01","chrome","false","Windows 10",1536,730,"Woman","Bachelor",58,"Caucasian","Yes","unlikely",0.856616666666667,4,1,1,2,1,2,3,4,3,4,0.6294,6,0,0,8,8,0,0.184,"Liberal","Democrat",3.0523,0,0,2,2,1,0,1,0,2,0,1,0,0,0,0,"Slightly improved","BadNewsGame",17.4341,"5424",0.528766666666667,"i don't know","no","no",1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0
"S115","USA",19.34835,"18/10/2024","06:45:37","chrome","false","Windows 10",1366,633,"Woman","Bachelor",23,"black","Yes","likely",2.056,3,3,1,1,3,3,1,3,1,2,0.64755,6,4,6,3,6,4,0.3488,"Liberal","Democrat",3.83846666666667,1,1,1,3,3,3,4,2,3,3,3,3,2,2,3,"Improved","Tetris",0.143433333333333,"10000",0.919166666666667,"the pretty colour","yes","yes",0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1
"S116","USA",28.0570166666667,"22/10/2024","11:44:36","chrome","false","Windows 10",1364,681,"Woman","High School",22,"Caucasian","Yes","likely",0.589033333333333,4,0,3,1,0,1,3,4,4,4,0.639033333333333,7,4,0,8,7,1,0.0993833333333333,"Liberal","Democrat",1.48201666666667,1,1,3,1,3,3,1,2,0,0,2,1,2,0,3,"Improved","BadNewsGame",8.99148333333333,"4600",2.01468333333333,"the humor","yes","maybe",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0
"S117","USA",49.6711333333333,"18/10/2024","08:03:06","chrome","false","Windows 10",1536,730,"Man","Bachelor",23,"Black American","Yes","very likely",1.85895,4,4,0,4,4,4,0,4,0,4,1.78753333333333,0,8,0,8,0,6,0.264533333333333,"Extremely Liberal","Democrat",2.80638333333333,3,3,4,1,2,0,3,0,2,0,4,3,2,2,0,"Greatly improved","BadNewsGame",13.11455,"470",0.5223,"Trolling","Yes","Yes",0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1
"S118","USA",41.3671,"18/10/2024","07:45:36","chrome","false","Windows 10",1536,730,"Woman","Bachelor",52,"Asian","Yes","likely",0.807683333333333,3,1,3,2,3,2,2,3,3,3,3.09495,3,4,5,4,5,6,0.231166666666667,"Moderate","None or Independent",2.42635,1,3,3,2,2,2,3,2,1,3,2,3,2,1,2,"No impact","Tetris",17.0774,"11474",0.482183333333333,"Fun and mentally challenging","Yes","Yes",1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0
"S119","USA",36.0187,"18/10/2024","07:02:10","chrome","false","Windows 10",1231,562,"Woman","High School",50,"white","Yes","likely",0.747116666666667,0,3,4,1,3,4,3,1,1,3,0.741533333333333,8,0,0,8,7,0,0.21695,"Extremely Liberal","Democrat",1.21995,0,1,3,1,0,1,0,1,0,0,1,1,1,1,2,"Slightly improved","Tetris",22.2232333333333,"38000",0.709,"remembering that I used to be pretty good at tetris and I still feel pretty confident about it","probably","yes - it's more like reminding though lol",1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0
"S120","USA",37.0905833333333,"18/10/2024","04:49:46","chrome","false","Windows 10",1188,504,"Man","Bachelor",58,"Asian","Yes","likely",0.857866666666667,2,3,0,3,1,3,0,3,1,2,1.20046666666667,3,2,0,0,2,6,0.148166666666667,"Liberal","Democrat",2.60946666666667,0,0,1,1,0,0,1,0,0,1,0,2,0,0,0,"Improved","Tetris",15.9453166666667,"2300",1.14966666666667,"the score improved","yes","yes",1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"S121","USA",43.6230166666667,"18/10/2024","07:48:36","chrome","false","Windows 10",1366,633,"Woman","High School",57,"Biracial","No","very unlikely",0.756866666666667,0,3,0,2,0,4,0,4,1,0,0.71365,4,4,8,3,2,8,0.17755,"Conservative","None or Independent",1.52791666666667,3,4,4,2,4,4,4,4,2,3,4,4,4,4,4,"Slightly improved","BadNewsGame",24.0875666666667,"5000",0.840816666666667,"The way t it leads you on","No","No",0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1
"S122","USA",40.8783,"18/10/2024","07:19:43","chrome","false","Windows 10",1366,607,"Woman","Bachelor",56,"Caucasian","Yes","likely",0.64575,4,1,2,1,0,0,0,4,3,4,0.992266666666667,5,0,0,8,4,1,0.2003,"Liberal","Democrat",2.03088333333333,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,"No impact","BadNewsGame",17.1514333333333,"15000",0.51355,"Sort of sardonic","No","No",1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0
"S123","USA",92.0304,"18/10/2024","06:18:57","chrome","false","Windows 10",1536,730,"Woman","Bachelor",33,"Hispanic","Yes","very likely",1.52638333333333,1,3,0,1,3,3,1,3,3,4,26.9214166666667,6,3,2,6,8,2,0.58425,"Slightly Liberal","None or Independent",3.10401666666667,4,4,3,4,4,2,3,3,4,0,4,2,3,0,0,"Greatly improved","BadNewsGame",24.4038333333333,"4348",1.19273333333333,"Building followers by manipulating and attacking critiques","Yes","Yes",0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1
"S124","USA",57.9127166666667,"22/10/2024","13:07:41","chrome","false","Windows 10",1366,607,"Man","Master",36,"Asian","Yes","likely",0.577966666666667,3,4,2,3,3,3,3,2,3,3,0.410633333333333,6,6,7,6,6,6,0.3146,"Slightly Liberal","None or Independent",1.51228333333333,2,2,3,2,3,2,2,3,3,1,2,3,2,3,3,"No impact","BadNewsGame",44.4705,"9753",0.453766666666667,"memes","yes","yes",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"S125","USA",37.0078,"18/10/2024","06:31:44","ios","true","iOS",980,1665,"Man","Master",34,"Caucasian","Yes","likely",0.795533333333333,3,4,1,4,2,2,1,4,1,4,0.925766666666667,0,5,6,1,1,7,0.158266666666667,"Moderate","Republican",1.82728333333333,3,1,3,0,1,0,2,0,0,0,0,0,1,2,0,"Slightly improved","BadNewsGame",15.4739166666667,"12000",0.915433333333333,"The headlines and interactions were amusing.","No","No",1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0
"S126","USA",60.97925,"18/10/2024","06:21:26","chrome","false","Windows 10",1536,730,"Woman","Master",64,"Caucasian","Yes","likely",1.87013333333333,1,4,0,4,0,4,0,4,0,4,3.29838333333333,7,8,7,1,2,2,0.807266666666667,"Conservative","Republican",2.1777,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,"Improved","BadNewsGame",11.5558333333333,"16700",20.00495,"The trolling part. it was fun","Yes","yes",1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"S127","USA",21.8774666666667,"18/10/2024","08:11:22","chrome","false","Windows 10",1366,641,"Man","Master",40,"black","Yes","likely",0.652983333333333,3,3,0,4,3,4,0,4,0,4,0.563166666666667,4,6,6,7,4,8,0.116216666666667,"Moderate","None or Independent",0.879166666666667,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,"No impact","Tetris",9.6232,"42000",0.433983333333333,"mind stimulating","yes","yes",1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0
"S128","USA",34.1679166666667,"18/10/2024","10:40:34","chrome","false","Windows 10",1366,599,"Man","High School",22,"Caucasian","Yes","unlikely",1.04718333333333,4,3,0,2,1,1,1,4,1,1,0.913983333333333,3,2,2,8,6,3,0.303333333333333,"Moderate","None or Independent",2.26908333333333,0,2,3,0,1,0,1,3,0,0,0,2,1,1,0,"No impact","Tetris",14.1823333333333,"100,743",1.46331666666667,"The satisfaction of using the 4x1 block to clear rows that were stacked up.","Yes","Yes",1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1
"S129","USA",28.3616833333333,"18/10/2024","06:43:37","chrome","false","Windows 10",1600,739,"Woman","High School",22,"Caucasian","Yes","Unsure/Refuse to answer",0.736783333333333,3,3,3,2,2,3,3,2,3,2,0.9566,4,3,0,7,5,4,0.137933333333333,"Liberal","Democrat",1.74961666666667,1,2,2,1,2,1,2,1,1,1,2,2,2,2,1,"Unsure/refuse to answer","Tetris",7.92055,"458",0.459083333333333,"Unsure, the simplicity of the game.","No.","No.",1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0
"S130","USA",54.49835,"18/10/2024","06:17:44","edge-chromium","false","Windows 10",1059,515,"Man","Bachelor",83,"white","No","Unsure/Refuse to answer",1.03465,1,3,0,4,1,1,0,4,1,4,1.102,3,1,1,6,8,3,0.610216666666667,"Slightly Liberal","None or Independent",3.05031666666667,3,3,4,3,3,3,1,3,2,3,2,2,3,3,2,"No impact","Tetris",23.5195333333333,"41,290",0.72455,"ther colorfulness","yes","yes",1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0
"S131","USA",35.77375,"18/10/2024","04:01:31","chrome","false","Windows 10",1920,957,"Man","High School",26,"African American","Yes","likely",3.06965,3,3,4,3,2,1,2,0,3,4,0.97915,7,0,0,8,7,1,0.07885,"Liberal","None or Independent",1.86446666666667,3,3,4,3,0,4,0,2,1,0,0,0,3,0,3,"No impact","Tetris",12.1554333333333,"26320",0.57765,"nothing, the controls were terrible","no","no",1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0
"S132","USA",19.8452666666667,"18/10/2024","07:21:45","chrome","false","Windows 10",1920,919,"Man","High School",30,"caucasian","Yes","unlikely",0.653333333333333,3,4,3,4,0,3,2,3,3,4,0.624983333333333,1,5,2,7,2,7,0.2062,"Moderate","None or Independent",1.54471666666667,3,3,3,2,3,3,2,3,2,2,3,2,4,3,3,"No impact","Tetris",5.84028333333333,"7938",0.44805,"challenge","yes","yes",1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1
"S133","USA",40.3504833333333,"04/11/2024","16:12:30","chrome","false","Windows 10",622,672,"Woman","Bachelor",24,"black american","Yes","very likely",1.63225,3,3,0,4,0,4,0,4,0,4,1.07241666666667,0,6,7,1,3,5,0.184333333333333,"Extremely Conservative","Republican",4.12023333333333,3,3,3,1,3,1,3,3,3,1,3,3,3,3,3,"No impact","Tetris",9.86903333333333,"1000",0.981916666666667,"the sound","yes","yes",1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1
"S134","USA",68.2519666666667,"18/10/2024","06:44:40","safari","false","Mac OS",980,1424,"Woman","High School",39,"White","No","unlikely",13.8143166666667,2,0,0,4,0,3,3,4,1,3,1.74885,4,1,1,7,2,2,0.609983333333333,"Moderate","None or Independent",6.0579,3,2,1,3,1,1,2,2,1,2,2,1,1,3,1,"No impact","Tetris",16.8101666666667,"12924",0.737516666666667,"The nostalgia ","Yes","Yes",1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"S135","USA",23.1363,"28/10/2024","08:39:35","chrome","false","Chrome OS",1366,617,"Man","High School",20,"Hispanic","Yes","unlikely",0.500666666666667,4,4,4,4,3,2,0,3,2,4,0.732266666666667,7,1,5,5,8,6,0.11525,"Slightly Conservative","Republican",1.40348333333333,1,4,4,2,4,4,4,2,1,0,4,3,4,4,4,"Improved","BadNewsGame",11.8561,"15,846",0.5393,"reading the tweets my followers made","yes","yes",1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1
"S136","USA",43.21295,"18/10/2024","09:01:23","chrome","false","Windows 10",1350,548,"Man","Master",35,"Caucasian ","Yes","unlikely",0.545033333333333,3,3,0,4,4,3,3,3,2,3,0.451433333333333,6,6,2,3,6,7,0.201716666666667,"Slightly Conservative","Republican",1.6632,1,2,3,3,0,3,0,1,0,0,0,0,3,1,2,"No impact","Tetris",18.5362833333333,"4498",0.373983333333333,"when a row clears","no","no",1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
"S137","USA",18.4532333333333,"18/10/2024","06:20:23","firefox","false","Windows 10",1536,739,"Woman","Bachelor",36,"Caucasian","Yes","likely",0.52115,4,3,3,3,2,2,1,3,3,2,0.5244,7,1,0,8,6,4,0.132916666666667,"Liberal","Democrat",1.45663333333333,1,2,4,1,1,1,2,1,0,1,1,1,1,1,3,"No impact","BadNewsGame",8.77375,"400",0.33265,"Earning different badges","Maybe","Maybe",0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
"S138","USA",14.6483833333333,"18/10/2024","07:15:16","chrome","false","Windows 10",2073,718,"Woman","Bachelor",69,"white","Yes","likely",0.360116666666667,0,3,0,3,1,4,1,4,1,1,0.961633333333333,2,0,0,8,6,0,0.1062,"Liberal","Democrat",1.14818333333333,0,1,3,4,1,1,1,1,3,1,1,1,3,1,1,"No impact","Tetris",3.16793333333333,"60",0.390933333333333,"colors","yes","yes",1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0
"S139","USA",49.1458333333333,"18/10/2024","07:02:34","chrome","false","Windows 10",1366,599,"Woman","Bachelor",58,"Caucasian","Yes","likely",1.18646666666667,1,4,1,0,1,3,3,4,4,4,1.3724,1,3,1,8,5,7,0.199283333333333,"Slightly Conservative","Republican",3.47005,2,3,4,4,3,2,3,3,3,2,3,3,3,2,3,"Slightly declined","BadNewsGame",17.1885166666667,"6128",0.5381,"memes","probably","maybe",1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0
"S140","USA",57.3138333333333,"18/10/2024","06:03:56","chrome","false","Windows 10",1536,730,"Woman","Other",34,"Black","Yes","unlikely",0.876516666666667,1,4,0,4,1,4,1,4,0,3,13.3259833333333,6,5,7,3,1,5,0.465616666666667,"Moderate","None or Independent",2.62446666666667,0,3,3,3,1,1,3,4,4,4,3,4,3,3,3,"Slightly improved","BadNewsGame",15.6443666666667,"11,785",1.8369,"The comments from my loyal followers and it was fun","Yes","Yes",0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0
"S141","USA",8.97608333333333,"22/10/2024","14:06:01","chrome","false","Windows 10",1366,607,"Man","Master",36,"Asian","Yes","likely",0.748966666666667,3,4,2,3,2,2,1,2,2,3,0.409933333333333,7,5,7,6,6,7,0.173433333333333,"Liberal","None or Independent",0.819216666666667,2,2,1,4,3,3,0,4,2,3,1,3,4,3,3,"Improved","BadNewsGame",0.124233333333333,"36",0.374383333333333,"funny ","yed","yes",0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0
"S142","USA",7.68043333333333,"18/10/2024","07:23:10","firefox","true","Android OS",1239,2205,"Woman","High School",44,"black ","Unsure/Refuse to answer","Unsure/Refuse to answer",0.200033333333333,2,2,2,2,2,2,2,2,2,2,0.382316666666667,4,4,8,0,4,4,0.061,"Moderate","Democrat",0.458733333333333,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"No impact","Tetris",2.86161666666667,"460",0.434133333333333,"the colors ","no","maybe ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"S143","USA",25.6361,"18/10/2024","07:49:32","chrome","false","Windows 10",1920,919,"Man","Bachelor",68,"Caucasian","Yes","likely",0.584466666666667,4,1,3,1,0,0,2,1,1,4,0.34765,6,0,0,7,8,0,0.112516666666667,"Liberal","Democrat",0.825016666666667,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,"Improved","BadNewsGame",12.7231,"5000",0.8693,"Those clever prompts really made me feel I was having a real conv","yes","yes",1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0
"S144","USA",45.0547666666667,"18/10/2024","08:46:25","chrome","false","Windows 10",1920,945,"Woman","Bachelor",67,"Caucasian","Yes","unlikely",0.7521,3,4,4,4,0,1,0,4,0,4,1.31226666666667,6,1,0,8,5,2,0.207533333333333,"Slightly Liberal","None or Independent",2.34015,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,"No impact","Tetris",19.5552666666667,"2200",0.65125,"Trying to fit the shapes in the best way","yes","yes",0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0
"S145","USA",48.5975333333333,"18/10/2024","07:55:41","chrome","false","Chrome OS",1536,730,"Woman","High School",52,"Hispanic","Yes","likely",1.15838333333333,3,3,1,0,1,3,0,3,3,1,0.6077,0,6,8,0,0,7,0.21715,"Extremely Conservative","Republican",1.27843333333333,0,4,4,0,3,3,3,0,0,0,3,3,4,4,1,"Slightly improved","BadNewsGame",19.3011166666667,"16495",1.67638333333333,"finding how easy fake stories could spread","maybe","no",1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0
"S146","USA",44.3733833333333,"18/10/2024","07:07:27","chrome","false","Windows 10",1280,698,"Man","Master",21,"white","Yes","very likely",0.6958,0,4,0,4,1,4,1,4,0,4,0.893066666666667,7,3,7,0,0,7,0.268066666666667,"Liberal","Democrat",10.8625666666667,3,3,1,1,3,1,3,2,2,2,3,3,0,2,2,"Greatly improved","BadNewsGame",22.40695,"15420",0.844416666666667,"Em0tion","yes","yes",1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1
"S147","USA",24.4828666666667,"18/10/2024","06:26:31","chrome","false","Mac OS",1187,958,"Woman","Master",49,"white","Yes","Unsure/Refuse to answer",0.487533333333333,1,4,0,4,0,4,1,4,1,4,0.590466666666667,6,2,0,6,2,2,0.102466666666667,"Extremely Liberal","Democrat",1.20243333333333,0,1,2,1,1,2,1,0,0,0,1,0,1,1,1,"Greatly improved","BadNewsGame",12.74495,"4000",0.413366666666667,"the snarky comments","yes","yes",1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"S148","USA",26.7572333333333,"18/10/2024","05:37:08","chrome","false","Windows 10",1366,641,"Woman","Bachelor",48,"White","Yes","unlikely",0.735666666666667,4,1,0,3,0,3,1,4,3,4,0.6378,1,6,4,6,3,6,0.1725,"Conservative","Democrat",1.6547,1,3,4,2,3,3,1,1,4,2,1,2,3,1,2,"Improved","BadNewsGame",15.6216166666667,"9000",0.727783333333333,"Impersonating a person so i could post fake news","yes","yes",1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1
"S149","USA",54.19995,"18/10/2024","09:27:40","chrome","false","Windows 10",1366,607,"Woman","High School",55,"Caucasian","No","very unlikely",1.60863333333333,4,0,0,4,0,0,0,4,0,2,1.66211666666667,0,0,8,0,2,6,0.400633333333333,"Conservative","Republican",3.94731666666667,1,3,4,1,1,3,3,1,1,1,1,3,3,3,1,"No impact","Tetris",15.4900333333333,"674",1.96636666666667,"I like how colorful the game is.","yes","yes",0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
"S150","USA",34.9807333333333,"18/10/2024","09:04:20","chrome","false","Windows 10",1280,551,"Woman","High School",23,"BLACK","Yes","unlikely",0.599783333333333,3,3,1,3,0,1,3,3,3,4,0.7976,7,1,0,8,4,0,0.14875,"Liberal","None or Independent",2.55361666666667,2,2,3,3,4,3,1,3,3,2,2,1,3,3,2,"No impact","Tetris",16.6572666666667,"5000",0.754983333333333,"the time constraint ","yes","yes",0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0
"S151","USA",31.3770833333333,"18/10/2024","07:31:26","chrome","false","Windows 10",1366,607,"Man","Bachelor",44,"Caucasian","Yes","unlikely",0.737933333333333,4,3,0,4,3,0,0,4,0,1,0.542733333333333,3,6,3,6,7,3,0.153916666666667,"Moderate","None or Independent",2.24448333333333,0,3,4,1,1,2,1,1,0,0,1,1,1,1,0,"No impact","Tetris",15.2709666666667,"12413",0.630066666666667,"nothing, I hate that game. boring.","no","no",1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0
"S152","USA",59.3317,"18/10/2024","06:56:25","chrome","false","Chrome OS",1366,633,"Woman","High School",38,"white","Yes","likely",0.671666666666667,3,4,0,1,4,4,3,4,4,1,10.5138333333333,1,6,6,7,1,8,0.348316666666667,"Moderate","None or Independent",2.13706666666667,2,3,3,1,2,3,2,0,3,4,3,3,3,1,2,"No impact","Tetris",6.91698333333333,"5000",0.777516666666667,"nothing i dont like it","Heck No","NO Way",1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0
"S153","USA",37.23075,"23/10/2024","09:32:08","chrome","false","Mac OS",810,680,"Woman","Bachelor",51,"Caucasian","Yes","Unsure/Refuse to answer",0.77615,0,2,1,3,3,4,3,3,0,1,0.901983333333333,5,1,0,8,6,1,0.11355,"Liberal","Democrat",1.32996666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"No impact","Tetris",14.3402833333333,"26000",0.22705,"challenge","yes","yes",0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0
"S154","USA",17.35345,"04/11/2024","08:17:59","chrome","false","Mac OS",1710,947,"Woman","Bachelor",44,"Asian","No","unlikely",0.3835,3,3,1,0,1,3,4,4,4,3,0.3724,8,2,0,8,8,0,0.202633333333333,"Slightly Conservative","None or Independent",0.847133333333333,3,3,3,4,4,3,3,4,3,4,4,4,3,2,3,"Greatly improved","BadNewsGame",8.75768333333333,"200",0.60065,"the real life prompts and fake issues","yes","yes",0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0
