"Participant","Sample","Experiment_Duration","Date","Time","Browser","Mobile","Platform","Screen_Width","Screen_Height","Gender","Education","Age","Ethnicity","COVID_Vaccination","FakeNews_SubjectiveDiscrimination","BFI_Duration","BFI10_1","BFI10_2","BFI10_3","BFI10_4","BFI10_5","BFI10_6","BFI10_7","BFI10_8","BFI10_9","BFI10_10","VSA_Duration","VSA_1","VSA_2","VSA_3","VSA_4","VSA_5","VSA_6","ANES_Duration","Political_Ideology","Political_Affiliation","GCBS_Duration","GCBS15_13","GCBS15_10","GCBS15_15","GCBS15_8","GCBS15_2","GCBS15_1","GCBS15_12","GCBS15_14","GCBS15_3","GCBS15_9","GCBS15_7","GCBS15_4","GCBS15_11","GCBS15_5","GCBS15_6","Intervention_Questions_Confidence","Intervention","Intervention_Duration","Intervention_Questions_Score","Intervention_Questions_Duration","Intervention_Questions_Favorite","Intervention_Questions_Repeat","Intervention_Questions_Recommend","MOCRI_PRE_2_NonManipulative","MOCRI_PRE_11_NonManipulative","MOCRI_PRE_12_Manipulative","MOCRI_PRE_4_NonManipulative","MOCRI_PRE_3_Manipulative","MOCRI_PRE_9_NonManipulative","MOCRI_PRE_5_NonManipulative","MOCRI_PRE_1_Manipulative","MOCRI_PRE_8_Manipulative","MOCRI_PRE_6_Manipulative","MOCRI_PRE_10_Manipulative","MOCRI_PRE_7_NonManipulative","MOCRI_POST_1_NonManipulative","MOCRI_POST_4_NonManipulative","MOCRI_POST_3_Manipulative","MOCRI_POST_9_NonManipulative","MOCRI_POST_6_Manipulative","MOCRI_POST_11_NonManipulative","MOCRI_POST_12_NonManipulative","MOCRI_POST_8_Manipulative","MOCRI_POST_7_Manipulative","MOCRI_POST_10_Manipulative","MOCRI_POST_5_NonManipulative","MOCRI_POST_2_Manipulative"
"S033","USA",69.1011666666667,"18/10/2024","06:55:52","chrome","false","Windows 10",638,944,"Man","Bachelor",29,"Black","No","likely",0.548133333333333,0,1,0,3,3,4,1,4,0,3,1.11595,0,1,1,8,5,8,0.955216666666667,"Liberal","Democrat",13.0512833333333,0,4,2,2,0,0,2,0,0,0,2,1,1,0,0,"Slightly improved","BadNewsGame",15.71325,"11",4.74756666666667,"Choosing a tweet to post.","yes","yes",1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0
"S034","USA",29.3666333333333,"18/10/2024","07:49:58","chrome","false","Linux",1280,639,"Man","Bachelor",40,"african-american","No","very likely",1.28428333333333,3,3,1,3,1,4,1,3,1,4,0.5432,3,3,1,7,6,3,0.849366666666667,"Moderate","None or Independent",3.58968333333333,3,3,3,3,3,2,3,1,2,1,3,3,3,3,1,"Slightly improved","Tetris",11.0125833333333,"18258",0.438833333333333,"stragety","tes","yes",1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0
"S035","USA",32.7882333333333,"18/10/2024","07:35:15","firefox","false","Windows 10",1600,775,"Man","High School",64,"caucasian","Yes","likely",0.929316666666667,1,3,0,4,1,3,1,4,1,3,0.805916666666667,1,8,6,3,3,8,0.134283333333333,"Slightly Conservative","Republican",1.96861666666667,1,3,3,1,3,1,1,1,1,2,1,3,2,3,1,"Improved","Tetris",16.6686333333333,"1369",0.599466666666667,"it weas fast paced","yes","yes",1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
"S036","USA",49.2450666666667,"04/11/2024","07:56:37","chrome","false","Mac OS",1440,778,"Woman","Master",56,"Caucasian","Yes","likely",1.16728333333333,3,3,0,1,2,2,2,4,4,3,1.55895,3,3,2,5,6,4,0.319933333333333,"Moderate","None or Independent",2.86626666666667,0,2,2,0,1,0,1,0,0,1,0,0,2,0,1,"No impact","Tetris",22.7629333333333,"4200",0.60025,"solving the puzzle","yes","no",1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0
"S037","USA",51.93565,"18/10/2024","07:03:49","edge-chromium","false","Windows 10",1366,657,"Woman","High School",36,"black","Yes","likely",2.33433333333333,4,4,0,3,3,2,0,4,0,4,1.91465,6,8,7,5,1,8,1.4225,"Conservative","Democrat",5.14171666666667,0,3,4,4,4,1,3,0,3,0,4,2,3,2,3,"Improved","BadNewsGame",23.0486666666667,"11,419",0.854983333333333,"i get to get a lot of followers","yes","yes",1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0
"S038","USA",36.74475,"18/10/2024","08:08:17","chrome","false","Mac OS",1273,588,"Woman","High School",23,"White","Yes","unlikely",0.9949,1,4,2,1,1,3,1,3,3,3,1.31823333333333,2,0,0,8,2,4,0.159516666666667,"Slightly Liberal","None or Independent",1.97388333333333,3,4,4,4,3,4,3,3,3,3,3,2,4,3,4,"Improved","BadNewsGame",16.4826833333333,"19000",0.851283333333333,"It was comedic in nature","Yes","Yes",1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0
"S039","USA",19.37265,"22/10/2024","12:08:26","edge-chromium","false","Windows 10",1358,642,"Woman","Bachelor",20,"Asian","Yes","likely",0.581533333333333,1,4,3,3,3,2,1,3,3,2,0.378,6,5,3,7,5,5,0.0742166666666667,"Moderate","None or Independent",0.714316666666667,1,3,3,1,3,3,2,2,2,3,2,3,1,2,2,"Slightly improved","BadNewsGame",13.5448333333333,"11.280",0.332733333333333,"Trolling","No","Yes",1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0
"S040","USA",19.8675666666667,"18/10/2024","07:27:18","edge-chromium","false","Windows 10",1912,930,"Man","Master",46,"White and Native American","Yes","likely",0.388283333333333,0,4,0,3,1,4,1,4,1,4,0.4488,2,2,0,8,8,0,0.0599166666666667,"Slightly Liberal","Democrat",0.934283333333333,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,"No impact","BadNewsGame",10.2358166666667,"19000",0.308533333333333,"None of it","No","No",1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0
"S041","USA",17.5107833333333,"18/10/2024","08:24:57","chrome","false","Windows 10",1366,633,"Woman","Bachelor",29,"white","Yes","likely",0.95575,2,3,0,2,3,2,2,3,1,2,0.911316666666667,7,4,4,5,0,4,0.0934,"Liberal","Democrat",0.872733333333333,3,1,3,3,2,1,0,2,3,2,3,3,2,2,2,"Greatly improved","Tetris",5.17691666666667,"5000",0.8726,"PRETTY SHAPES","YES","YES",0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1
"S042","USA",46.54615,"22/10/2024","11:37:05","chrome","false","Mac OS",1531,824,"Woman","Bachelor",55,"Asian","Yes","likely",0.632266666666667,4,2,0,0,0,1,3,4,4,4,0.8158,4,2,0,4,0,8,0.8557,"Conservative","None or Independent",2.36673333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No impact","Tetris",24.0863,"21000",0.454383333333333,"it's a fun game, honestly","yes","no",1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0
"S043","USA",26.4282833333333,"18/10/2024","05:36:19","chrome","true","Android OS",980,1324,"Woman","Bachelor",46,"Black","No","very unlikely",1.97268333333333,3,3,0,4,0,0,0,3,1,1,1.15586666666667,2,2,8,0,0,6,0.27405,"Slightly Conservative","Republican",4.50686666666667,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Slightly declined","Tetris",7.7189,"None",0.463133333333333,"None","No","No",0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0
"S044","USA",44.1385833333333,"18/10/2024","07:23:38","chrome","false","Chrome OS",1366,599,"Woman","High School",61,"white","No","likely",0.768,4,3,0,3,4,1,1,4,4,1,0.732733333333333,3,5,2,7,3,6,0.137616666666667,"Moderate","Republican",4.81318333333333,1,1,4,0,2,0,1,3,0,3,0,3,1,4,1,"Greatly improved","BadNewsGame",23.8203,"7450",0.78005,"loved the promts","yes","yes",1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0
"S045","USA",45.3153666666667,"18/10/2024","07:29:47","chrome","false","Windows 10",1280,593,"Woman","High School",22,"Latino ","Yes","likely",3.0321,3,2,1,3,3,3,1,3,2,4,1.5747,5,5,2,6,6,5,0.141916666666667,"Liberal","Democrat",2.25098333333333,2,3,3,3,2,3,3,1,3,1,2,2,1,3,2,"Slightly improved","Tetris",6.98598333333333,"3706",1.85083333333333,"Arranging the bricks","Yes","Yes",1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
"S046","USA",29.2429666666667,"04/11/2024","07:35:33","edge-chromium","false","Windows 10",1912,920,"Man","Master",43,"Multiracial","Yes","likely",0.484016666666667,4,2,0,0,4,0,3,4,4,1,0.535466666666667,5,1,0,8,8,0,0.169733333333333,"Moderate","None or Independent",1.24035,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,"Slightly improved","BadNewsGame",13.1381,"18.513",0.510583333333333,"The conversational style","Yes","Yes",1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0
"S047","USA",51.3216,"18/10/2024","07:19:39","chrome","false","Windows 10",1366,641,"Man","Master",40,"Black","Yes","likely",1.00213333333333,3,3,0,4,3,4,0,4,0,4,1.51426666666667,4,8,6,7,4,8,0.27825,"Moderate","None or Independent",4.78643333333333,2,3,4,2,4,4,4,4,3,4,4,4,4,4,4,"No impact","Tetris",21.1649,"30000",0.91445,"so simple, yet so complicated","yes","yes",0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0
